,SLVID,_id_$oid,FoodCat1ID,FoodCat1Name,FoodCat2ID,FoodCat2Name,FoodCat3ID,FoodCat3Name,Variation_id_$oid,Variation_ID,Variation_Organic,Variation_CO2,Variation_text_en,Variation_text_sv,Variation_text_no,Variation_text_dk,Variation_RegionName,Variation_RegionID,Variation_Source,Name_sv,Name_no,Name_en,Name_dk,Class,Variation_RegionName_dk,Variation_RegionName_no,Variation_RegionName_en,Variation_RegionName_sv,WeightedAverageCO2
0,1.0,5b0083866fd2dcf4a031b73f,2,Fett och olja,109,Smör och annat djurfett,544,Fett. talg-. nöt,,3.0,False,1.9,"Scandinavia, Conventional","Sverige, Konventionell","Norge, Konvensjonell","Danmark, Konventionel",Sverige,5.0,RISE-1.5,Talg nöt,Dyrefett,Tallow beef,Talgkød,4.0,Danmark,Norge,Scandinavia,Sverige,1.9
1,1.0,5b0083866fd2dcf4a031b73f,2,Fett och olja,109,Smör och annat djurfett,544,Fett. talg-. nöt,5b7bd6c84a40085c09206b1c,1.0,True,1.9,"Other, Organic","Övrigt ursprung, Ekologisk","Annen opprinnelse, Økologisk","Anden oprindelse, Økologisk",Övrigt,-1.0,RISE-1.4,Talg nöt,Dyrefett,Tallow beef,Talgkød,4.0,Anden oprindelse,Annen opprinnelse,Other,Övrigt ursprung,1.9
2,2.0,5b0083866fd2dcf4a031b7b1,2,Fett och olja,109,Smör och annat djurfett,529,Fett. ister-. gris,,3.0,False,1.0,"Scandinavia, Conventional","Sverige, Konventionell","Norge, Konvensjonell","Danmark, Konventionel",Sverige,5.0,RISE-1.5,Späck gris,Gris spekk,Pork bubbler,Svinefedt,4.0,Danmark,Norge,Scandinavia,Sverige,1.0
3,2.0,5b0083866fd2dcf4a031b7b1,2,Fett och olja,109,Smör och annat djurfett,529,Fett. ister-. gris,5b7bd6c84a40085c09206b1f,1.0,True,1.0,"Other, Organic","Övrigt ursprung, Ekologisk","Annen opprinnelse, Økologisk","Anden oprindelse, Økologisk",Övrigt,-1.0,RISE-1.4,Späck gris,Gris spekk,Pork bubbler,Svinefedt,4.0,Anden oprindelse,Annen opprinnelse,Other,Övrigt ursprung,1.0
4,3.0,5b0083876fd2dcf4a031bde5,2,Fett och olja,109,Smör och annat djurfett,529,Fett. ister-. gris,,3.0,False,1.0,"Scandinavia, Conventional","Sverige, Konventionell","Norge, Konvensjonell","Danmark, Konventionel",Sverige,5.0,RISE-1.5,Ister gris,Gris ister,Pork lard,Svine ister,4.0,Danmark,Norge,Scandinavia,Sverige,1.0
5,3.0,5b0083876fd2dcf4a031bde5,2,Fett och olja,109,Smör och annat djurfett,529,Fett. ister-. gris,5b7bd6c84a40085c09206b22,1.0,True,1.0,"Other, Organic","Övrigt ursprung, Ekologisk","Annen opprinnelse, Økologisk","Anden oprindelse, Økologisk",Övrigt,-1.0,RISE-1.4,Ister gris,Gris ister,Pork lard,Svine ister,4.0,Anden oprindelse,Annen opprinnelse,Other,Övrigt ursprung,1.0
6,997.0,5b0083876fd2dcf4a031bf09,2,Fett och olja,109,Smör och annat djurfett,529,Fett. ister-. gris,,3.0,False,1.0,"Scandinavia, Conventional","Sverige, Konventionell","Norge, Konvensjonell","Danmark, Konventionel",Sverige,5.0,RISE-1.5,Gris svål,Gris flesk,Pork rind,Svinekød flæskesvær,4.0,Danmark,Norge,Scandinavia,Sverige,1.0
7,997.0,5b0083876fd2dcf4a031bf09,2,Fett och olja,109,Smör och annat djurfett,529,Fett. ister-. gris,5b7bd6c84a40085c092078fd,1.0,True,1.0,"Other, Organic","Övrigt ursprung, Ekologisk","Annen opprinnelse, Økologisk","Anden oprindelse, Økologisk",Övrigt,-1.0,RISE-1.4,Gris svål,Gris flesk,Pork rind,Svinekød flæskesvær,4.0,Anden oprindelse,Annen opprinnelse,Other,Övrigt ursprung,1.0
8,4.0,5b0083876fd2dcf4a031c33e,2,Fett och olja,108,Vegetabilisk fett och olja,528,Fett. kokos-,5b7bd6c84a40085c09206b24,0.0,True,4.92,"Other, Organic","Övrigt ursprung, Ekologisk","Annen opprinnelse, Økologisk","Anden oprindelse, Økologisk",Övrigt,-1.0,RISE-1.4,Kokosfett,Kokosfett,Coconut fat,Kokos fedt,3.0,Anden oprindelse,Annen opprinnelse,Other,Övrigt ursprung,4.92
9,4.0,5b0083876fd2dcf4a031c33e,2,Fett och olja,108,Vegetabilisk fett och olja,528,Fett. kokos-,5b7bd6c84a40085c09206b26,2.0,False,4.92,"Indonesia, Conventional","Indonesien, Konventionell","Indonesia, Konvensjonell","Indonesien, Konventionel",Indonesien,32.0,RISE-1.5,Kokosfett,Kokosfett,Coconut fat,Kokos fedt,3.0,Indonesien,Indonesia,Indonesia,Indonesien,4.92
10,5.0,5b0083876fd2dcf4a031bb69,2,Fett och olja,110,Margarin och blandade fetter,543,Matfettsblandning 80% typ Bregott,,5.0,False,5.47,"Scandinavia, Conventional","Sverige, Konventionell","Norge, Konvensjonell","Danmark, Konventionel",Sverige,5.0,RISE-1.5,Matfettsblandning fett ca 80%,Matlagingfett ca 80% fett,Edible fat 80%,Blandet fedt ca. 80%,4.0,Danmark,Norge,Scandinavia,Sverige,5.47
